"ID";"Name";"OnTerritoryOfMoscow";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"FullFeaturedBPAAmount";"LittleFunctionalBPAAmount";"BPAAmount";"RepairOfEscalators";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование";"На территории Москвы";"Административный округ";"Район";"Долгота в WGS-84";"Широта в WGS-84";"Тип вестибюля";"Станция метрополитена";"Линия";"Статус объекта культурного наследия";"Режим работы по чётным дням";"Режим работы по нечётным дням";"Количество полнофункциональных БПА (все типы билетов)";"Количество малофункциональных БПА (билеты на 1 и 2 поездки)";"Общее количество БПА";"Ремонт эскалаторов";"Статус объекта";"global_id";"geoData";"geodata_center";
"1288";"Кузьминки, вход-выход 2 в восточный вестибюль";"да";"Юго-Восточный административный округ";"район Кузьминки";"37.76773600";"55.70552184";"подземный";"Кузьминки";"Таганско-Краснопресненская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:00, по 2 пути в 05:38:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:18:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 05:38:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:18:00";"";"";"";"nested data";"действует";"2537358604";"{coordinates=[37.767736, 55.70552184], type=Point}";"{coordinates=[37.767736, 55.70552184], type=Point}";
"1289";"Кленовый бульвар, вход-выход 1 в вестибюль";"да";"Южный административный округ";"район Нагатинский Затон";"37.68303647";"55.67497063";"подземный";"Кленовый бульвар";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 05:46:00; последний поезд по 1 пути в 01:48:00, по 2 пути в 01:58:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 05:46:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:43:00";"7";"";"7";"nested data";"действует";"2565537986";"{coordinates=[37.68303647, 55.67497063], type=Point}";"{coordinates=[37.68303647, 55.67497063], type=Point}";
"1290";"Нагатинский Затон, вход-выход 1 в вестибюль";"да";"Южный административный округ";"район Нагатинский Затон";"37.70459977";"55.68433066";"подземный";"Нагатинский Затон";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:51:00, по 2 пути в 01:55:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:38:00, по 2 пути в 01:55:00";"5";"";"5";"nested data";"действует";"2565538148";"{coordinates=[37.70459977, 55.68433066], type=Point}";"{coordinates=[37.70459977, 55.68433066], type=Point}";
"1294";"Сокольники, вход-выход 3 в вестибюль 2";"да";"Восточный административный округ";"район Сокольники";"37.67893615";"55.78942010";"подземный";"Сокольники";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:59:00; последний поезд по 1 пути в 01:43:00, по 2 пути в 02:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:47:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:57:00";"6";"";"6";"nested data";"действует";"2565538152";"{coordinates=[37.67893615, 55.7894201], type=Point}";"{coordinates=[37.67893615, 55.7894201], type=Point}";
"1295";"Сокольники, вход-выход 4 в вестибюль 2";"да";"Восточный административный округ";"район Сокольники";"37.68092635";"55.78966794";"подземный";"Сокольники";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:59:00; последний поезд по 1 пути в 01:43:00, по 2 пути в 02:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:47:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:57:00";"6";"";"6";"nested data";"действует";"2565538153";"{coordinates=[37.68092635, 55.78966794], type=Point}";"{coordinates=[37.68092635, 55.78966794], type=Point}";
"1296";"Сокольники, вход-выход 5 в вестибюль 1";"да";"Восточный административный округ";"район Сокольники";"37.67821196";"55.79075054";"подземный";"Сокольники";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:59:00; последний поезд по 1 пути в 01:43:00, по 2 пути в 02:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:47:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:57:00";"6";"";"6";"nested data";"действует";"2565538154";"{coordinates=[37.67821196, 55.79075054], type=Point}";"{coordinates=[37.67821196, 55.79075054], type=Point}";
"1297";"Рижская, вход-выход 2 в вестибюль";"да";"Северо-Восточный административный округ";"район Марьина Роща";"37.63370014";"55.79254739";"подземный";"Рижская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:59:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:53:00";"6";"";"6";"nested data";"действует";"2565538155";"{coordinates=[37.63370014, 55.79254739], type=Point}";"{coordinates=[37.63370014, 55.79254739], type=Point}";
"1298";"Рижская, вход-выход 3 в вестибюль";"да";"Центральный административный округ";"Мещанский район";"37.63516999";"55.79237814";"подземный";"Рижская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:59:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:53:00";"6";"";"6";"nested data";"действует";"2565538156";"{coordinates=[37.63516999, 55.79237814], type=Point}";"{coordinates=[37.63516999, 55.79237814], type=Point}";
"1299";"Рижская, вход-выход 4 в вестибюль";"да";"Центральный административный округ";"Мещанский район";"37.63537384";"55.79154399";"подземный";"Рижская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:59:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:53:00";"6";"";"6";"nested data";"действует";"2565538157";"{coordinates=[37.63537384, 55.79154399], type=Point}";"{coordinates=[37.63537384, 55.79154399], type=Point}";
"1300";"Рижская, вход-выход 5 в вестибюль";"да";"Центральный административный округ";"Мещанский район";"37.63423659";"55.79155003";"подземный";"Рижская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:59:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:53:00";"6";"";"6";"nested data";"действует";"2565538158";"{coordinates=[37.63423659, 55.79155003], type=Point}";"{coordinates=[37.63423659, 55.79155003], type=Point}";
"1301";"Рижская, вход-выход 6 в вестибюль";"да";"Центральный административный округ";"Мещанский район";"37.63381816";"55.79151377";"подземный";"Рижская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:47:00, по 2 пути в 01:59:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:53:00";"6";"";"6";"nested data";"действует";"2565538159";"{coordinates=[37.63381816, 55.79151377], type=Point}";"{coordinates=[37.63381816, 55.79151377], type=Point}";
