"ID";"Name";"Station";"RailwayLine";"WorkingHours";"Latitude_WGS84";"Longitude_WGS84";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование";"Станция радиального железнодорожного направления";"Радиальное железнодорожное направление";"Режим работы";"Широта в WGS-84";"Долгота в WGS-84";"Статус объекта";"global_id";"geoData";"geodata_center";
"511";"Марьина Роща (проход 2А)";"Марьина Роща";"Горьковское";"05:30-01:00";"55.800167";"37.618497";"действует";"2616959776";"{coordinates=[37.618497, 55.800167], type=Point}";"";
"512";"Площадь трёх вокзалов (проход 1А)";"Площадь трёх вокзалов";"Горьковское";"05:30-01:00";"55.775071";"37.652816";"действует";"2616980727";"{coordinates=[37.652816, 55.775071], type=Point}";"";
"513";"Площадь трёх вокзалов (проход 2А)";"Площадь трёх вокзалов";"Горьковское";"05:30-01:00";"55.774953";"37.652310";"действует";"2616980951";"{coordinates=[37.65231, 55.774953], type=Point}";"";
"514";"Солнечная (проход 1) (Б)";"Солнечная";"Киевское";"05:30-01:00";"55.656460";"37.384307";"действует";"2617004480";"{coordinates=[37.384307, 55.65646], type=Point}";"";
"515";"Солнечная (проход 2)";"Солнечная";"Киевское";"05:30-01:00";"55.657476";"37.382648";"действует";"2617004750";"{coordinates=[37.382648, 55.657476], type=Point}";"";
"516";"Мичуринец (проход 2)";"Мичуринец";"Киевское";"05:30-01:00";"55.645754";"37.315951";"действует";"2617005391";"{coordinates=[37.315951, 55.645754], type=Point}";"";
"517";"Внуково (проход 2)";"Внуково";"Киевское";"05:30-01:00";"55.648562";"37.270142";"действует";"2617005948";"{coordinates=[37.270142, 55.648562], type=Point}";"";
"518";"Толстопальцево (проход 2)";"Толстопальцево";"Киевское";"05:30-01:00";"55.607054";"37.185774";"действует";"2617006450";"{coordinates=[37.185774, 55.607054], type=Point}";"";
"519";"Кокошкино (проход 2)";"Кокошкино";"Киевское";"05:30-01:00";"55.598960";"37.169553";"действует";"2617006905";"{coordinates=[37.169553, 55.59896], type=Point}";"";
"520";"Поклонная (проход 2)";"Поклонная";"Киевское";"05:30-01:00";"55.731577";"37.522016";"действует";"2617007823";"{coordinates=[37.522016, 55.731577], type=Point}";"";
"521";"Крёкшино (проход 2)";"Крёкшино";"Киевское";"05:30-01:00";"55.578242";"37.111681";"действует";"2617008611";"{coordinates=[37.111681, 55.578242], type=Point}";"";
"522";"Чухлинка (проход 2)";"Чухлинка";"Горьковское";"05:30-01:00";"55.733853";"37.763555";"действует";"2617042867";"{coordinates=[37.763555, 55.733853], type=Point}";"";
"523";"Кусково (проход 2)";"Кусково";"Горьковское";"05:30-01:00";"55.740183";"37.794191";"действует";"2617043619";"{coordinates=[37.794191, 55.740183], type=Point}";"";
"524";"Новогиреево (проход 3)";"Новогиреево";"Горьковское";"05:30-01:00";"55.744948";"37.819420";"действует";"2617044298";"{coordinates=[37.81942, 55.744948], type=Point}";"";
"525";"Москва-3 (проход 2)";"Москва-3";"Ярославское";"04:30-01:30";"55.802895";"37.650319";"действует";"2617047481";"{coordinates=[37.650319, 55.802895], type=Point}";"";
"526";"Ростокино (проход 2)";"Ростокино";"Ярославское";"03:30-02:30";"55.841907";"37.670432";"действует";"2617051672";"{coordinates=[37.670432, 55.841907], type=Point}";"";
"527";"Чертаново (проход 2)";"Чертаново";"Павелецкое";"05:00-01:00";"55.631914";"37.627018";"действует";"2617056282";"{coordinates=[37.627018, 55.631914], type=Point}";"";
"528";"Ожигово (проход 1)";"Ожигово";"Киевское";"05:30-01:00";"55.458339";"36.887434";"действует";"2663226919";"{coordinates=[36.887434, 55.458339], type=Point}";"";
"529";"Москва-Сити (проход 7)";"Москва-Сити";"Горьковское";"05:30-01:00";"55.747942";"37.531552";"действует";"2663492222";"{coordinates=[37.531552, 55.747942], type=Point}";"";
"475";"Нижегородская (проход 2)";"Нижегородская";"Горьковское";"05:30-01:00";"55.73354072";"37.73106418";"действует";"2694542084";"{coordinates=[37.73106418, 55.73354072], type=Point}";"";
"530";"Белорусская (проход 1)";"Белорусская";"Белорусское";"05:30-01:00";"55.776588";"37.580310";"действует";"2696708423";"{coordinates=[37.58031, 55.776588], type=Point}";"";
"531";"Савёловская (проход 5)";"Савёловская";"Савёловское";"05:30-01:00";"55.794584";"37.588955";"действует";"2696708452";"{coordinates=[37.588955, 55.794584], type=Point}";"";
"532";"Лианозово (проход 15) (Б)";"Лианозово";"Савёловское";"05:30-01:00";"55.897782";"37.551343";"действует";"2696708545";"{coordinates=[37.551343, 55.897782], type=Point}";"";
"533";"Лианозово (проход 16)";"Лианозово";"Савёловское";"05:30-01:00";"55.898180";"37.551626";"действует";"2696708555";"{coordinates=[37.551626, 55.89818], type=Point}";"";
"534";"Лианозово (проход 18)";"Лианозово";"Савёловское";"05:30-01:00";"55.898825";"37.552052";"действует";"2696708563";"{coordinates=[37.552052, 55.898825], type=Point}";"";
"535";"Калитники (проход 1) (Б)";"Калитники";"Курское";"05:30-01:00";"55.734218";"37.701756";"действует";"2696709016";"{coordinates=[37.701756, 55.734218], type=Point}";"";
"536";"Калитники (проход 2) (Б)";"Калитники";"Курское";"05:30-01:00";"55.734321";"37.702041";"действует";"2696709022";"{coordinates=[37.702041, 55.734321], type=Point}";"";
"537";"Зеленоград - Крюково (проход 1)";"Зеленоград - Крюково";"Ленинградское";"05:30-01:00";"55.980361";"37.172539";"действует";"2696709321";"{coordinates=[37.172539, 55.980361], type=Point}";"";
"538";"Зеленоград - Крюково (проход 2)";"Зеленоград - Крюково";"Ленинградское";"05:30-01:00";"55.980286";"37.172631";"действует";"2696709335";"{coordinates=[37.172631, 55.980286], type=Point}";"";
"539";"Зеленоград - Крюково (проход 3)";"Зеленоград - Крюково";"Ленинградское";"05:30-01:00";"55.979655";"37.171663";"действует";"2696709344";"{coordinates=[37.171663, 55.979655], type=Point}";"";
"540";"Зеленоград - Крюково (проход 5)";"Зеленоград - Крюково";"Ленинградское";"05:30-01:00";"55.979928";"37.173219";"действует";"2696709356";"{coordinates=[37.173219, 55.979928], type=Point}";"";
"541";"Зеленоград - Крюково (проход 6)";"Зеленоград - Крюково";"Ленинградское";"05:30-01:00";"55.980095";"37.172933";"действует";"2696709370";"{coordinates=[37.172933, 55.980095], type=Point}";"";
"542";"Царицыно (проход 11)";"Царицыно";"Курское";"05:30-01:00";"55.618356";"37.668614";"действует";"2696710027";"{coordinates=[37.668614, 55.618356], type=Point}";"";
"543";"Петровско-Разумовская (проход 7) (Б)";"Петровско-Разумовская";"Ленинградское";"05:30-01:00";"55.839799";"37.568992";"действует";"2696710066";"{coordinates=[37.568992, 55.839799], type=Point}";"";
"544";"Сортировочная (проход 4)";"Сортировочная";"Казанское";"05:30-01:00";"55.763845";"37.720553";"действует";"2696710084";"{coordinates=[37.720553, 55.763845], type=Point}";"";
"545";"Санино (проход 3)";"Санино";"Киевское";"05:30-01:00";"55.584782";"37.142028";"действует";"2696710127";"{coordinates=[37.142028, 55.584782], type=Point}";"";
"546";"Санино (проход 4)";"Санино";"Киевское";"05:30-01:00";"55.585324";"37.141466";"действует";"2696710130";"{coordinates=[37.141466, 55.585324], type=Point}";"";
"547";"Солнечная (проход 3)";"Солнечная";"Киевское";"05:30-01:00";"55.656602";"37.384801";"действует";"2696710141";"{coordinates=[37.384801, 55.656602], type=Point}";"";
"548";"Курская (проход 5)";"Курская";"Горьковское";"05:30-01:00";"55.758704";"37.660939";"действует";"2696710407";"{coordinates=[37.660939, 55.758704], type=Point}";"";
"549";"Остафьево (проход 1)";"Остафьево";"Курское";"05:30-01:00";"55.485849";"37.555761";"действует";"2696952123";"{coordinates=[37.555761, 55.485849], type=Point}";"";
"550";"Остафьево (проход 2)";"Остафьево";"Курское";"05:30-01:00";"55.486068";"37.554731";"действует";"2696952136";"{coordinates=[37.554731, 55.486068], type=Point}";"";
"551";"Мещерская (проход 1)";"Мещерская";"Киевское";"05:30-01:00";"55.667150";"37.425124";"действует";"2696952180";"{coordinates=[37.425124, 55.66715], type=Point}";"";
"552";"Мещерская (проход 2)";"Мещерская";"Киевское";"05:30-01:00";"55.666763";"37.425319";"действует";"2696952185";"{coordinates=[37.425319, 55.666763], type=Point}";"";
