"Location";"ID";"Taxi";"LengthKM";"DateOfEntry";"OrderNumber";"DateOfOrder";"LaneCoordinates";"LanePhoto";"global_id";"geoData";"geodata_center";
"Местоположение";"Код";"Проезд такси";"Протяженность (км)";"Дата ввода";"Номер приказа";"Дата приказа";"Координаты выделенной полосы";"Фотографии выделенной полосы";"global_id";"geoData";"geodata_center";
"площадь Пречистенские Ворота";"820665";"Запрещено";"0.1";"13.11.2017";"61-02-514";"10.11.2017";"55.7447897124,37.6025428178; 55.7446222340,37.6016446469";"nested data";"1133032264";"{coordinates=[[[37.602542639, 55.744809633], [37.601644647, 55.744622234]]], type=MultiLineString}";"";
"Подольское шоссе, Павловская улица, Большая Серпуховская улица";"820666";"Запрещено";"1.8";"11.01.2016";"61-02-460";"16.12.2015";"55.7124337232,37.6233173520; 55.7126119139,37.6234430914; 55.7129637162,37.6236969214; 55.7134411833,37.6240387173; 55.7138462087,37.6243249638; 55.7145573543,37.6248408373; 55.7150228797,37.6251947361; 55.7156599592,37.6256760198; 55.7161700550,37.6260326876; 55.7170561853,37.6266522122; 55.7179976781,37.6273187882; 55.7182478992,37.6274888035; 55.7183421179,37.6275491315; 55.7184595047,37.6276341392; 55.7190937270,37.6276341392; 55.7194341075,37.6276396043; 55.7201384795,37.6276452618; 55.7210785723,37.6276660042; 55.7212387526,37.6276446210; 55.7215148401,37.6276032155; 55.7216831838,37.6275922468; 55.7219550032,37.6275456297; 55.7223522540,37.6273906540; 55.7228117603,37.6271654973; 55.7237674203,37.6266814763; 55.7245823602,37.6262692794; 55.7251958836,37.6259550970; 55.7261358684,37.6254752025; 55.7266739642,37.6252164835; 55.7270593071,37.6250405920; 55.7271385098,37.6250085585; 55.7272924679,37.6249894970; 55.7274436805,37.6250056787; 55.7275591914,37.6250391421";"nested data";"1133032266";"{coordinates=[[[37.623286843, 55.712439388], [37.623630166, 55.712901], [37.623729408, 55.713035478], [37.623941302, 55.713342964], [37.62414515, 55.713627027], [37.624316812, 55.713859715], [37.624467015, 55.714077292], [37.624745965, 55.714455028], [37.624906898, 55.71468469], [37.625185847, 55.715067708], [37.625724971, 55.715811069], [37.625985146, 55.716194832], [37.62665838, 55.717124005], [37.627275288, 55.717977616], [37.6274845, 55.718281285], [37.627621293, 55.718507147], [37.627634139, 55.719093727], [37.627639604, 55.719434108], [37.627645262, 55.720138479], [37.627637386, 55.720999853], [37.627626657, 55.721392628], [37.627615929, 55.721640377], [37.627594471, 55.721842804], [37.62754563, 55.721955003], [37.627320886, 55.722416847], [37.627031207, 55.723030157], [37.626681476, 55.72376742], [37.626269279, 55.72458236], [37.626018016, 55.725119261], [37.625545263, 55.726072395], [37.625287771, 55.726601061], [37.625073195, 55.727033052], [37.625008559, 55.72713851], [37.624944448, 55.727294359], [37.62501955, 55.727596446]]], type=MultiLineString}";"";
"Таганская площадь, Таганрогская улица";"820674";"Запрещено";"1.3";"";"";"";"55.7415415380,37.6557252856; 55.7414091752,37.6564468106; 55.7413641443,37.6566976179; 55.7411917684,37.6575131279; 55.7411461977,37.6577341893; 55.7410521442,37.6581898397; 55.7409779506,37.6585447878; 55.7409194213,37.6588335512; 55.7407561589,37.6595377488; 55.7406052842,37.6601822072; 55.7404994479,37.6606267637; 55.7404289241,37.6609216162; 55.7403791194,37.6611287127; 55.7403260751,37.6613786786; 55.7402352970,37.6618162111; 55.7401649368,37.6621924384; 55.7400601469,37.6627414853; 55.7399465200,37.6633196456; 55.7398339977,37.6638936545; 55.7397269983,37.6644433157; 55.7396841239,37.6647058375; 55.7396592518,37.6649202315; 55.7396479200,37.6650574611; 55.7396067610,37.6656338181; 55.7395578526,37.6663055878; 55.7395134493,37.6669603162; 55.7394382406,37.6679501525; 55.7393348340,37.6693397041; 55.7392761374,37.6701375767; 55.7392259295,37.6707899761; 55.7391886892,37.6712905788; 55.7391445218,37.6721415041; 55.7391189832,37.6725157621; 55.7390948635,37.6728811992#55.7399972426,37.6531889934; 55.7400342662,37.6531992832; 55.7400919693,37.6532529752; 55.7401950389,37.6533775820; 55.7402880757,37.6535870652; 55.7403849860,37.6536931667; 55.7407662471,37.6540268936; 55.7408513643,37.6541242724; 55.7409148227,37.6542639654; 55.7411262490,37.6547094637";"nested data";"1133032274";"{coordinates=[[[37.655784488, 55.741590311], [37.65650332, 55.741418184], [37.657318711, 55.741250585], [37.658316493, 55.741043729], [37.658930719, 55.740918406], [37.659695148, 55.740759865], [37.660601735, 55.740537907], [37.661140859, 55.740403523], [37.661411762, 55.740332556], [37.661816211, 55.740235297], [37.662192438, 55.740164937], [37.662741485, 55.740060147], [37.66327858, 55.73997017], [37.663852572, 55.739862964], [37.664547265, 55.739731598], [37.664810121, 55.739689319], [37.665448487, 55.73964402], [37.665807903, 55.739613821], [37.667009532, 55.739535303], [37.668302357, 55.739435645], [37.669546902, 55.739352596], [37.669949234, 55.739322774], [37.670309991, 55.739254825], [37.670938969, 55.739203486], [37.67169401, 55.739149127], [37.672163397, 55.739115152], [37.672526836, 55.739093258], [37.672876865, 55.739064568]], [[37.653177381, 55.739992819], [37.653217614, 55.740146834], [37.653467059, 55.74024649], [37.653579712, 55.740305377], [37.653693167, 55.740384986], [37.654049098, 55.740749296], [37.654142976, 55.740836871], [37.654263965, 55.740914823], [37.654709464, 55.741126249]]], type=MultiLineString}";"";
"Большая Никитская улица, Баррикадная улица";"820675";"Запрещено";"0.3";"";"";"";"55.7602869884,37.5807634081; 55.7601703465,37.5809751684; 55.7599176613,37.5814153287; 55.7598600473,37.5815069933; 55.7595722143,37.5820017929; 55.7595280590,37.5820918938; 55.7594851287,37.5822171901; 55.7594065472,37.5826342560; 55.7592407615,37.5834912519; 55.7591947685,37.5836575092; 55.7591512669,37.5838144591; 55.7591228110,37.5839336248; 55.7590651991,37.5841807024; 55.7590080279,37.5843641837; 55.7589415769,37.5845419299#55.7587866838,37.5853310501; 55.7588591371,37.5850289453; 55.7589052165,37.5848523404";"nested data";"1133032275";"{coordinates=[[[37.580795288, 55.760296709], [37.581747472, 55.759772649], [37.582139075, 55.759561363], [37.582091894, 55.759528059], [37.58221719, 55.759485129], [37.582634256, 55.759406547], [37.583491252, 55.759240761], [37.583657509, 55.759194768], [37.583814459, 55.759151267], [37.583933625, 55.759122811], [37.584180702, 55.759065199], [37.584364184, 55.759008028], [37.58454193, 55.758941577]], [[37.58533105, 55.758786684], [37.585028945, 55.758859137], [37.58485234, 55.758905216]]], type=MultiLineString}";"";
"улица Большие Каменщики";"819914";"Запрещено";"1.1";"";"";"";"55.7309242386,37.6606756277; 55.7310175468,37.6606104201; 55.7311805263,37.6604939385; 55.7314284671,37.6603176408; 55.7316073573,37.6601908363; 55.7318212783,37.6600355837; 55.7319613661,37.6599281314; 55.7321304592,37.6597995976; 55.7323658106,37.6596202060; 55.7324647292,37.6595306791; 55.7325725507,37.6594346479; 55.7329878829,37.6590519863; 55.7330161051,37.6590235681; 55.7330831395,37.6589603725; 55.7331569570,37.6588746671; 55.7333112034,37.6587180483; 55.7335712872,37.6584509779; 55.7338925949,37.6581414585; 55.7341933000,37.6578493196; 55.7344473612,37.6575946269; 55.7348132108,37.6572255451; 55.7350799065,37.6569580499; 55.7351206632,37.6569203100; 55.7353347513,37.6567397017; 55.7353846773,37.6566966533; 55.7357058273,37.6564280277; 55.7360673628,37.6561240670; 55.7363044456,37.6559230350; 55.7365877983,37.6556944991; 55.7367198189,37.6555864706; 55.7369040126,37.6554383616; 55.7370027581,37.6553586012; 55.7371824603,37.6552133339; 55.7373568565,37.6550733176; 55.7376034876,37.6548735878; 55.7377335865,37.6547682111; 55.7378830942,37.6546470992; 55.7380054546,37.6545478274; 55.7381042690,37.6544689657; 55.7382844528,37.6543233359; 55.7384543087,37.6541863344; 55.7387440365,37.6539713639; 55.7390360807,37.6537540764; 55.7393834087,37.6534970764; 55.7396667246,37.6532862589; 55.7398352040,37.6531718725; 55.7399015162,37.6531559261; 55.7399957224,37.6531868036";"nested data";"1136254966";"{coordinates=[[[37.660650015, 55.730878466], [37.660548091, 55.731029496], [37.660430074, 55.731180525], [37.660287917, 55.731410843], [37.660185993, 55.731564892], [37.660084069, 55.731694775], [37.659928131, 55.731961366], [37.659799598, 55.732130459], [37.659620206, 55.732365811], [37.659530679, 55.732464729], [37.659434648, 55.732572551], [37.659204304, 55.732779133], [37.658952177, 55.733041911], [37.658836842, 55.733155933], [37.658396959, 55.733599932], [37.658032179, 55.733977479], [37.65765667, 55.734342941], [37.657302618, 55.734699339], [37.657088041, 55.73491982], [37.65695805, 55.735079907], [37.65692031, 55.735120663], [37.656739702, 55.735334751], [37.656696653, 55.735384677], [37.656428028, 55.735705827], [37.656124067, 55.736067363], [37.655923035, 55.736304446], [37.655694499, 55.736587798], [37.655620873, 55.736655692], [37.655256093, 55.737099652], [37.654873588, 55.737603488], [37.654768211, 55.737733586], [37.654695511, 55.737830514], [37.654582858, 55.737995107], [37.654070556, 55.738654983], [37.653802335, 55.739008321], [37.653568983, 55.739332967], [37.653206885, 55.739808605], [37.653155926, 55.739901516], [37.653161287, 55.740004899]]], type=MultiLineString}";"";
"Коломенский проезд";"819929";"Запрещено";"0.4";"30.12.2019";"61-02-649";"28.12.2019";"55.6628722991,37.6253942039; 55.6628137460,37.6271914893; 55.6628080259,37.6273719918; 55.6627805198,37.6282741379; 55.6627706230,37.6286125665; 55.6627587455,37.6290165880; 55.6627383397,37.6295022521; 55.6627202461,37.6299174046; 55.6626929407,37.6303996896; 55.6626585671,37.6309485391; 55.6626503443,37.6310864506; 55.6626103273,37.6317370502; 55.6626003986,37.6319025983; 55.6625760442,37.6320947781; 55.6625488112,37.6322404555; 55.6625152531,37.6323582746; 55.6624916133,37.6324249946";"nested data";"1136254968";"{coordinates=[[[37.625400424, 55.662886791], [37.626990974, 55.662827409], [37.627330273, 55.662816818], [37.628274138, 55.66278052], [37.628612566, 55.662770623], [37.629016588, 55.662758745], [37.629502252, 55.66273834], [37.629917405, 55.662720246], [37.631515861, 55.662665903], [37.631851137, 55.662628079], [37.632226646, 55.662559997], [37.632358275, 55.662515253], [37.632419765, 55.662481324]]], type=MultiLineString}";"";
"Большая Черкизовская улица";"820009";"Запрещено";"1.8";"20.08.2018";"61-02-299";"02.08.2018";"55.7984704925,37.7290934133; 55.7984428633,37.7289092177; 55.7983896889,37.7285568515; 55.7983082942,37.7280427709; 55.7982919872,37.7279386767; 55.7982218480,37.7275037607; 55.7981508786,37.7270571342; 55.7981012366,37.7267503260; 55.7980393599,37.7263628042; 55.7979261342,37.7256529397; 55.7977896499,37.7248146008; 55.7977197898,37.7243910630; 55.7975926579,37.7236206422; 55.7975132663,37.7231753008; 55.7973794566,37.7223800510; 55.7973119674,37.7219845817; 55.7970106311,37.7202695505; 55.7969664051,37.7200058843; 55.7968809554,37.7194890609; 55.7968009176,37.7189866102; 55.7967196818,37.7184413521; 55.7966801664,37.7182193959; 55.7966056490,37.7178010697; 55.7965111853,37.7172666505; 55.7964304044,37.7168269053; 55.7963528419,37.7164030273; 55.7962578926,37.7158931541; 55.7961156001,37.7151177889; 55.7961084510,37.7150855381; 55.7960695750,37.7149101636#55.7958598458,37.7150490023; 55.7970173487,37.7218724043; 55.7983241902,37.7291009828";"nested data";"1136254970";"{coordinates=[[[37.729062438, 55.798519749], [37.727259994, 55.79822198], [37.726718187, 55.798125488], [37.725988626, 55.798004872], [37.724867463, 55.79780887], [37.724449039, 55.797739515], [37.723620642, 55.797592658], [37.723175301, 55.797513266], [37.722380051, 55.797379457], [37.721984582, 55.797311967], [37.720178962, 55.797006006], [37.719513774, 55.796894433], [37.71898661, 55.796800918], [37.718652785, 55.796743658], [37.718014419, 55.796623038], [37.717284858, 55.796496386], [37.716753781, 55.79639989], [37.716391683, 55.796330532], [37.715898156, 55.79624459], [37.714910164, 55.796069575]], [[37.715085447, 55.795855583], [37.717314363, 55.796256652], [37.719183862, 55.796594391], [37.720398903, 55.796805476], [37.721959949, 55.797070839], [37.729104012, 55.798312819]]], type=MultiLineString}";"";
"Большая Дорогомиловская улица";"820119";"Запрещено";"0.8";"19.11.2012";"61-02-236";"15.11.2012";"55.7460609240,37.5520475262; 55.7460932149,37.5524491104; 55.7463192504,37.5581071448; 55.7463192504,37.5583796483; 55.7462909960,37.5586951788; 55.7457808995,37.5636161414; 55.7456840259,37.5643691118; 55.7456032978,37.5650001727";"nested data";"1136254972";"{coordinates=[[[37.552031279, 55.746087247], [37.552455068, 55.746108383], [37.553034425, 55.746129519], [37.555834651, 55.746247276], [37.55792141, 55.746322761], [37.558248639, 55.746319742], [37.559460998, 55.746198966], [37.561617494, 55.745972509], [37.56362915, 55.745761148], [37.564369112, 55.745684026], [37.564921975, 55.745628292]]], type=MultiLineString}";"";
"Большая Дорогомиловская улица";"820138";"Запрещено";"0.1";"26.07.2014";"61-02-158";"24.07.2014";"55.7454179954,37.5664169534; 55.7452167743,37.5681896654";"nested data";"1136254973";"{coordinates=[[[37.566416953, 55.745417995], [37.568199635, 55.745231986]]], type=MultiLineString}";"";
"проспект Маршала Жукова, улица Мневники";"820202";"Запрещено";"8.6";"";"";"";"55.7728327966,37.4345998413; 55.7728684429,37.4349114300; 55.7728942665,37.4350731707; 55.7729769027,37.4355882740; 55.7730561615,37.4359848046; 55.7731045787,37.4362258338; 55.7731920076,37.4365724200; 55.7732727294,37.4368941335; 55.7733167107,37.4370383863; 55.7734330493,37.4374193843; 55.7735409897,37.4377651000; 55.7736444237,37.4380532713; 55.7737755154,37.4384034284; 55.7738000815,37.4384671971; 55.7739167055,37.4387474013; 55.7741002129,37.4391618434; 55.7742240811,37.4394415097; 55.7743765984,37.4397460154; 55.7746737700,37.4403386675; 55.7750397436,37.4410664843; 55.7753009793,37.4415896513; 55.7756070470,37.4421987532; 55.7758421321,37.4426652803; 55.7760944154,37.4431830118; 55.7762892201,37.4435802135; 55.7765042216,37.4440214585; 55.7767203719,37.4444630801; 55.7768853664,37.4448029044; 55.7770189771,37.4450759327; 55.7772472704,37.4455429035; 55.7774273543,37.4459121350; 55.7775568593,37.4461864589; 55.7775900523,37.4462578760; 55.7777174703,37.4465268212; 55.7778041234,37.4467347284; 55.7779037230,37.4469756313; 55.7780499829,37.4473854474; 55.7781005724,37.4475450011; 55.7782244448,37.4479478913; 55.7782870195,37.4481580149; 55.7783780945,37.4484772524; 55.7784153043,37.4486066170; 55.7784396374,37.4487179817; 55.7785300186,37.4491395739; 55.7786074103,37.4495221486; 55.7786900805,37.4499695220; 55.7787179007,37.4501865203; 55.7787742523,37.4506391635; 55.7787830549,37.4507329827; 55.7788382790,37.4512834113; 55.7788709738,37.4517071194; 55.7788718753,37.4517786588; 55.7788758137,37.4520778094; 55.7788804851,37.4524272665; 55.7788730745,37.4526487115; 55.7788565803,37.4532145849; 55.7788228799,37.4537652581; 55.7787633289,37.4543448187; 55.7787298998,37.4545705977; 55.7786908364,37.4548452077; 55.7786272190,37.4552865245; 55.7785592562,37.4556993545; 55.7785381671,37.4558301812; 55.7784460651,37.4563537327; 55.7783300054,37.4570107257; 55.7782853847,37.4572649645; 55.7781751363,37.4578918288; 55.7780648395,37.4584943740; 55.7780367550,37.4586767463; 55.7779739807,37.4590744781; 55.7778833881,37.4596482245; 55.7778223235,37.4600320068; 55.7777583413,37.4604083369; 55.7777375053,37.4605208860; 55.7777062608,37.4606631388; 55.7776197966,37.4610542090; 55.7775690851,37.4612884383; 55.7774800201,37.4617043626; 55.7773677758,37.4622243786; 55.7772217158,37.4628928424; 55.7771175421,37.4633795060; 55.7770545215,37.4636994977; 55.7769813510,37.4640588675; 55.7769177641,37.4644161987; 55.7768274037,37.4649514946; 55.7768057193,37.4650883008; 55.7767289506,37.4655679949; 55.7767060216,37.4657303675; 55.7766502789,37.4661321633; 55.7766030067,37.4664775696; 55.7765330574,37.4669840955; 55.7764577315,37.4675295620; 55.7763693045,37.4681666642; 55.7763094657,37.4686049986; 55.7762532770,37.4690014886; 55.7761794372,37.4695166743; 55.7761083068,37.4700237753; 55.7760126625,37.4706972312; 55.7758921136,37.4715507587; 55.7756955223,37.4729417241; 55.7755086452,37.4742565337; 55.7754041154,37.4749466317; 55.7753711893,37.4751454625; 55.7753234382,37.4753830200; 55.7752704165,37.4756310768; 55.7751611517,37.4760988394; 55.7750997258,37.4763655092; 55.7749146461,37.4771900822; 55.7748140380,37.4776519583; 55.7746347844,37.4784865905; 55.7745730760,37.4787939153; 55.7744193234,37.4795878401; 55.7742778134,37.4803341701; 55.7742495349,37.4805342419; 55.7741491341,37.4811711028; 55.7740453863,37.4818294173; 55.7739997090,37.4821161197; 55.7739574154,37.4823945215; 55.7737990360,37.4834288817; 55.7734522906,37.4857327532; 55.7733742676,37.4862151101; 55.7732707066,37.4868573740; 55.7731397153,37.4876640232; 55.7730402243,37.4882901329; 55.7729635744,37.4888106358; 55.7728399647,37.4896432605; 55.7727359985,37.4903531430; 55.7726335936,37.4910312867; 55.7726049131,37.4912359849; 55.7725933476,37.4913202630; 55.7725214362,37.4918274273; 55.7724243796,37.4925228719; 55.7723704034,37.4929060599; 55.7722558573,37.4937180298; 55.7721802760,37.4941996204; 55.7721501155,37.4943723086; 55.7720908397,37.4947138764; 55.7720212429,37.4951525504; 55.7719265067,37.4957614148; 55.7718562292,37.4962055118; 55.7716910030,37.4972061746; 55.7715531899,37.4980430268#55.7779257346,37.4607861696; 55.7781307011,37.4595969143; 55.7787589676,37.4557057748; 55.7789639297,37.4543438857; 55.7790394417,37.4531546304; 55.7790610166,37.4520612828; 55.7789355928,37.4502446292; 55.7786712596,37.4487491166; 55.7783027921,37.4474814917; 55.7777651711,37.4460534325; 55.7771246033,37.4447404515; 55.7744932275,37.4393680655; 55.7740483525,37.4384663797; 55.7736390631,37.4372957700; 55.7732564626,37.4359036937; 55.7731407919,37.4350935053; 55.7729984275,37.4340652671; 55.7729005517,37.4326257336; 55.7727728825,37.4284653514#55.7758047808,37.4749621966; 55.7763294563,37.4716259842; 55.7767528751,37.4693184346; 55.7770285462,37.4672945712; 55.7781530429,37.4603397431; 55.7790778343,37.4546160042#55.7716584801,37.4990075791; 55.7723429363,37.4950602753; 55.7733612512,37.4884418638";"nested data";"1136254976";"{coordinates=[[[37.434609532, 55.772884483], [37.434985042, 55.772926726], [37.435237169, 55.772965952], [37.435982823, 55.773095697], [37.436374426, 55.773195269], [37.436851859, 55.773318979], [37.437565327, 55.773524156], [37.437978387, 55.773675021], [37.438466549, 55.773859075], [37.439158559, 55.774145715], [37.439534068, 55.774323733], [37.440038323, 55.774571145], [37.440478206, 55.774788384], [37.440601587, 55.77485778], [37.4411273, 55.775114241], [37.441937327, 55.775495158], [37.4424389, 55.775751614], [37.443026304, 55.77604352], [37.443997264, 55.776523237], [37.444914579, 55.776962972], [37.445507348, 55.777243555], [37.445893586, 55.777433627], [37.446065247, 55.777524137], [37.44631201, 55.777632748], [37.446526821, 55.77771747], [37.446734728, 55.777804123], [37.446975631, 55.777903723], [37.447385447, 55.778049983], [37.447545001, 55.778100572], [37.447843552, 55.77821653], [37.448304892, 55.778352292], [37.449139574, 55.778530019], [37.449522149, 55.77860741], [37.449969522, 55.77869008], [37.45018652, 55.778717901], [37.450639164, 55.778774252], [37.450732983, 55.778783055], [37.451283411, 55.778838279], [37.451707119, 55.778870974], [37.451778659, 55.778871875], [37.452077809, 55.778875814], [37.452427266, 55.778880485], [37.452648712, 55.778873075], [37.453214585, 55.77885658], [37.453733683, 55.778844047], [37.45439887, 55.778777676], [37.454897761, 55.778726389], [37.455570996, 55.778620797], [37.456295192, 55.77849107], [37.456938922, 55.77839302], [37.457590699, 55.778291953], [37.458076179, 55.778204462], [37.45887816, 55.778076996], [37.459800839, 55.777920114], [37.46076107, 55.777757198], [37.46173203, 55.777530925], [37.463207245, 55.777217157], [37.464044094, 55.777045186], [37.464956045, 55.776888301], [37.466211319, 55.776707278], [37.46786356, 55.776474964], [37.468780875, 55.77634523], [37.470062971, 55.776164204], [37.471666932, 55.775931887], [37.471849322, 55.775901716], [37.474418879, 55.775532118], [37.475652695, 55.775326951], [37.476607561, 55.775097646], [37.477369308, 55.774916615], [37.478731871, 55.774607352], [37.479944229, 55.774393129], [37.481263876, 55.774184939], [37.482841015, 55.773937524], [37.483173609, 55.773889248], [37.486242056, 55.773414025], [37.486628294, 55.773335574], [37.488709688, 55.773009703], [37.489981055, 55.772827154], [37.491391897, 55.772612921], [37.492824197, 55.772413774], [37.494159937, 55.772211609], [37.495324016, 55.772027547], [37.496337891, 55.771870641], [37.497389317, 55.771692612], [37.498124242, 55.771565879]], [[37.460798621, 55.777938216], [37.460144162, 55.778058894], [37.459537983, 55.77815242], [37.455705775, 55.778758968], [37.454353273, 55.77894813], [37.45315463, 55.779039442], [37.45193392, 55.779049195], [37.451504767, 55.779022043], [37.450203896, 55.778886284], [37.448782325, 55.778635882], [37.447521687, 55.778287428], [37.445936501, 55.777647833], [37.444885075, 55.777131926], [37.443865836, 55.776646182], [37.44292438, 55.77617929], [37.442224324, 55.775833077], [37.441556454, 55.775514769], [37.439603806, 55.774556059], [37.439292669, 55.774402181], [37.438933253, 55.774230198], [37.438482642, 55.774046146], [37.437431216, 55.773644848], [37.436186671, 55.773297858], [37.435854077, 55.773225442], [37.43518889, 55.773098715], [37.434067726, 55.772975004], [37.433348894, 55.772923709], [37.432625734, 55.772900552], [37.428465351, 55.772772882]], [[37.474962197, 55.775804781], [37.471625984, 55.776329456], [37.469365597, 55.776662022], [37.468442917, 55.776815892], [37.467343211, 55.776987863], [37.467037439, 55.777039152], [37.464956045, 55.777374041], [37.46375978, 55.777558078], [37.460192442, 55.778140352], [37.458250523, 55.778475985], [37.454616004, 55.779077834]], [[37.498998642, 55.771565879], [37.497013807, 55.771921937], [37.495018244, 55.772271957], [37.493569851, 55.772492226], [37.491563559, 55.772775859], [37.488393188, 55.773258633]]], type=MultiLineString}";"";
"Звенигородское шоссе";"820203";"Запрещено";"2.4";"";"";"";"55.7656365569,37.5420757238; 55.7655745843,37.5425800676; 55.7654790016,37.5433528992; 55.7653972439,37.5440100256; 55.7652890169,37.5448526266; 55.7651970501,37.5455601283; 55.7650690082,37.5465950007; 55.7649631766,37.5474593701; 55.7649029671,37.5479262220; 55.7648276721,37.5485114886; 55.7647329878,37.5492496387; 55.7646358536,37.5500115271; 55.7645645972,37.5505611441; 55.7644865701,37.5511661918; 55.7644024701,37.5518261203; 55.7643248687,37.5524292632; 55.7642492011,37.5530062189; 55.7641715731,37.5536124847; 55.7641162290,37.5540379968; 55.7640442810,37.5545903100; 55.7639570225,37.5552691147; 55.7638691971,37.5559717454; 55.7637943591,37.5565664347; 55.7637235295,37.5571320953; 55.7634424820,37.5593582516; 55.7633772821,37.5598980000; 55.7633007573,37.5605136785#55.7634750618,37.5605549444; 55.7641600951,37.5551806299; 55.7645301160,37.5521770619; 55.7650535614,37.5481116388; 55.7657986227,37.5422191263; 55.7659579895,37.5409298494";"nested data";"1136254977";"{coordinates=[[[37.54211247, 55.765606711], [37.543051243, 55.765496557], [37.544239461, 55.765341134], [37.545690536, 55.76515553], [37.547104061, 55.764977471], [37.548209131, 55.764840154], [37.549440265, 55.764698309], [37.550821602, 55.764514211], [37.55194813, 55.764366329], [37.552463114, 55.764305969], [37.553006219, 55.764249201], [37.553612485, 55.764171573], [37.554037997, 55.764116229], [37.55459031, 55.764044281], [37.555269115, 55.763957022], [37.555971745, 55.763869197], [37.556566435, 55.763794359], [37.557132095, 55.76372353], [37.559358252, 55.763442482], [37.559898, 55.763377282], [37.560513678, 55.763300757]], [[37.560571432, 55.763426208], [37.560185194, 55.763492606], [37.555410862, 55.764090935], [37.552476525, 55.764468941], [37.548262775, 55.764997088], [37.544800043, 55.765425636], [37.542479932, 55.765722901], [37.540873289, 55.765922082]]], type=MultiLineString}";"";
"улица Красная Пресня";"820206";"Запрещено";"2";"";"";"";"55.7628527065,37.5632400582; 55.7626602714,37.5641609176; 55.7623457118,37.5659237055; 55.7615734598,37.5709128384; 55.7610948980,37.5744128548; 55.7608573849,37.5765281132; 55.7607003591,37.5780692077#55.7608306889,37.5781279413; 55.7608825986,37.5776713882; 55.7609289393,37.5772616193; 55.7609825942,37.5767941300; 55.7610162803,37.5764870847; 55.7609326426,37.5772293527; 55.7610481495,37.5761842848; 55.7610976859,37.5757068677; 55.7611446671,37.5752531000; 55.7612037881,37.5746929574; 55.7612192376,37.5745522683; 55.7612693984,37.5741662385; 55.7612951770,37.5739678500; 55.7613752343,37.5733649221; 55.7614121659,37.5730868924; 55.7614848931,37.5725603531; 55.7615717737,37.5719428237; 55.7616503147,37.5713799570; 55.7616940068,37.5710722756; 55.7618181699,37.5702382700; 55.7619506503,37.5693739296; 55.7620797519,37.5685253602; 55.7621874479,37.5678139619; 55.7622965213,37.5671051760; 55.7624282380,37.5663165197; 55.7624573260,37.5661381050; 55.7625938759,37.5653423965; 55.7626946709,37.5648003086; 55.7627958296,37.5642865819; 55.7629127303,37.5637437926; 55.7629794006,37.5634482535; 55.7629973205,37.5633675054";"nested data";"1136254978";"{coordinates=[[[37.563271075, 55.762875781], [37.564217895, 55.762680357], [37.565302849, 55.762487196], [37.565962672, 55.762369488], [37.567158937, 55.762165007], [37.569142431, 55.76186696], [37.570916712, 55.761601358], [37.574412855, 55.761094898], [37.576528113, 55.760857385], [37.578069208, 55.760700359]], [[37.578115761, 55.760798879], [37.57768929, 55.760842644], [37.577211857, 55.760897728], [37.575653493, 55.76107241], [37.574915886, 55.761154658], [37.574355304, 55.761210496], [37.573584169, 55.761317644], [37.572850585, 55.761427055], [37.571942824, 55.761571774], [37.571379957, 55.761650315], [37.571072276, 55.761694007], [37.57023827, 55.76181817], [37.569365054, 55.76193487], [37.569124997, 55.761966561], [37.568510771, 55.762055597], [37.56781742, 55.76215897], [37.567181736, 55.762260079], [37.566264421, 55.762424569], [37.565721273, 55.762522659], [37.56480664, 55.762672057], [37.56422326, 55.762782974], [37.563334107, 55.762964816]]], type=MultiLineString}";"";
